treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
AMn	1	0.41400000000000003	positive	459	1966	1.2349208097953526	260	2.0643718546641163	5.0	27.175603846601213	0.004029972766510219	-3.0634627934541103	0.08242608867270582	
AMn	1	0.41600000000000004	positive	457	1923	1.2141869299568424	268	1.9828590562351383	4.0	30.628144335642137	0.00488535530227078	-5.841031326736941	0.016011350418406727	
AMn	1	0.41800000000000004	positive	454	1878	1.244230192960414	266	1.9914000687509743	4.0	31.46549344325834	0.003549228737836013	-5.168292597859107	0.02324081014389147	
AMn	1	0.42000000000000004	positive	452	1832	1.3089746401570133	262	2.0048564397758564	4.0	33.306652665275486	0.002090647686009577	-4.366022510980629	0.03607224380580866	
AMn	1	0.42200000000000004	positive	447	1790	1.3632834748575213	261	2.0041993602361092	4.0	31.23957629991321	0.0032608576180777906	-4.364637627381359	0.03750457030541998	
AMn	1	0.42400000000000004	positive	446	1753	1.222575675358262	260	1.9417506993526947	3.0	51.324263758512146	0.00018470961361684887	-5.67102016476432	0.015769244697629737	
AMn	1	0.42600000000000005	positive	445	1707	1.2305553722383697	261	1.945516468219111	3.0	49.93457236907035	0.0001875224705501965	-5.348694545794785	0.018536481474881232	
AMn	1	0.42800000000000005	positive	440	1668	1.3784309572036941	259	1.9579132606698786	3.0	52.10971722493845	9.107869473381186e-05	-4.517490414466684	0.02771097333932426	
AMn	1	0.43000000000000005	positive	436	1639	1.2144548363164906	260	1.9385962060537003	3.0	43.87524758473331	0.000579897788461548	-5.78143820995361	0.01482573879630427	
AMn	1	0.43200000000000005	positive	433	1604	1.2538234515770954	257	1.9387763941377802	3.0	41.43871331103247	0.0009648819517587259	-5.9783602627887085	0.013670398967209823	
AMn	1	0.43400000000000005	positive	431	1569	1.2742560244903236	258	1.9414425130238715	3.0	40.15340831229663	0.001114244600488642	-5.832165176387222	0.014421051679411165	
AMn	1	0.43600000000000005	positive	426	1533	1.1082607336127235	254	1.9450888427556015	3.0	39.660796094593024	0.001172378738283361	-5.544238345321263	0.017265343305511043	
AMn	1	0.43800000000000006	positive	421	1501	1.2333498743156508	251	2.023708246064637	4.0	22.963118167646492	0.012729439138742167	-3.9563222448191855	0.04539357680354666	
AMn	1	0.44	positive	413	1454	1.2188767431607368	249	1.946499061763622	3.0	35.18750786486655	0.002345897099762695	-5.672043662110877	0.015605960217899064	
AMn	1	0.442	positive	410	1424	1.205198261651684	249	2.019733753869994	4.0	19.168422649599236	0.028884659121278324	-4.161624511404995	0.042103527046695836	
AMn	1	0.444	positive	407	1389	1.1433559627114223	248	1.9410029898996284	3.0	30.176579032825558	0.005929956613508446	-6.002559958275081	0.013333276242079112	
AMn	1	0.446	positive	404	1350	1.2755728090844471	249	2.034259381388194	4.0	18.466614807272574	0.028099456716487142	-3.7888743514758794	0.05053440259919308	
